district,province,census_year,census_period,is_remote,total_population,literate_population,avg_literacy_rate,total_enrolled,total_never_enrolled,total_dropout,avg_enrollment_rate,avg_dropout_rate,local_level_count,total_schools,total_teachers,avg_trained_teachers_pct,total_students,avg_student_teacher_ratio,avg_electricity_pct,avg_toilet_pct,avg_water_pct,avg_infrastructure_score
Dhanusa,Madhesh,2021,Post-Federal (2021),0,50903.0,28603.0,59.46,14280.0,8176.0,1548.0,30.91,9.57,6,43.0,592.0,58.7,10511.0,17.8,91.1,25.9,72.2,63.07
Dhanusa,Madhesh,2021,Post-Federal (2021),0,50903.0,28603.0,59.46,14280.0,8176.0,1548.0,30.91,9.57,6,1.0,8.0,74.0,123.0,15.4,49.3,66.8,45.05,53.72
Dolakha,Bagmati,2021,Post-Federal (2021),0,32603.0,23477.0,70.66,8522.0,2634.0,1266.0,32.76,14.0,2,85.0,850.0,69.75,24983.0,27.1,72.55,81.55,73.5,75.87
Dolakha,Bagmati,2021,Post-Federal (2021),0,32603.0,23477.0,70.66,8522.0,2634.0,1266.0,32.76,14.0,2,114.0,1333.0,64.0,35446.0,26.6,38.4,50.4,50.9,46.57
Dolakha,Bagmati,2021,Post-Federal (2021),0,32603.0,23477.0,70.66,8522.0,2634.0,1266.0,32.76,14.0,2,42.5,419.0,70.4,9802.0,23.4,65.5,44.2,43.7,51.13
Dolakha,Bagmati,2021,Post-Federal (2021),0,32603.0,23477.0,70.66,8522.0,2634.0,1266.0,32.76,14.0,2,9.0,82.0,72.0,2702.0,33.0,72.2,78.4,94.3,81.63
Dolakha,Bagmati,2001,Pre-Federal (2001),0,223623.0,158295.0,71.86,70604.0,11571.0,8329.0,31.71,11.24,9,150.0,1178.0,77.68,43145.0,34.83,46.02,55.28,66.14,55.81
Dolakha,Bagmati,2011,Transitional (2011),0,272245.0,200729.0,75.28,89492.0,15171.0,10042.0,33.37,12.92,9,209.0,1352.0,75.78,49935.0,39.38,49.34,80.36,69.6,66.44
Dolakha,Bagmati,2021,Post-Federal (2021),0,101427.0,78818.0,79.19,37619.0,5701.0,4596.0,36.94,12.77,4,85.0,850.0,69.75,24983.0,27.1,72.55,81.55,73.5,75.87
Dolakha,Bagmati,2021,Post-Federal (2021),0,101427.0,78818.0,79.19,37619.0,5701.0,4596.0,36.94,12.77,4,114.0,1333.0,64.0,35446.0,26.6,38.4,50.4,50.9,46.57
Dolakha,Bagmati,2021,Post-Federal (2021),0,101427.0,78818.0,79.19,37619.0,5701.0,4596.0,36.94,12.77,4,42.5,419.0,70.4,9802.0,23.4,65.5,44.2,43.7,51.13
Dolakha,Bagmati,2021,Post-Federal (2021),0,101427.0,78818.0,79.19,37619.0,5701.0,4596.0,36.94,12.77,4,9.0,82.0,72.0,2702.0,33.0,72.2,78.4,94.3,81.63
Dolakha,Bagmati,2021,Post-Federal (2021),0,64332.0,46845.0,74.57,23123.0,3759.0,3706.0,36.23,14.88,4,85.0,850.0,69.75,24983.0,27.1,72.55,81.55,73.5,75.87
Dolakha,Bagmati,2021,Post-Federal (2021),0,64332.0,46845.0,74.57,23123.0,3759.0,3706.0,36.23,14.88,4,114.0,1333.0,64.0,35446.0,26.6,38.4,50.4,50.9,46.57
Dolakha,Bagmati,2021,Post-Federal (2021),0,64332.0,46845.0,74.57,23123.0,3759.0,3706.0,36.23,14.88,4,42.5,419.0,70.4,9802.0,23.4,65.5,44.2,43.7,51.13
Dolakha,Bagmati,2021,Post-Federal (2021),0,64332.0,46845.0,74.57,23123.0,3759.0,3706.0,36.23,14.88,4,9.0,82.0,72.0,2702.0,33.0,72.2,78.4,94.3,81.63
Dolakha,Bagmati,2021,Post-Federal (2021),0,51979.0,41073.0,77.69,25125.0,3804.0,4493.0,48.26,17.82,2,85.0,850.0,69.75,24983.0,27.1,72.55,81.55,73.5,75.87
Dolakha,Bagmati,2021,Post-Federal (2021),0,51979.0,41073.0,77.69,25125.0,3804.0,4493.0,48.26,17.82,2,114.0,1333.0,64.0,35446.0,26.6,38.4,50.4,50.9,46.57
Dolakha,Bagmati,2021,Post-Federal (2021),0,51979.0,41073.0,77.69,25125.0,3804.0,4493.0,48.26,17.82,2,42.5,419.0,70.4,9802.0,23.4,65.5,44.2,43.7,51.13
Dolakha,Bagmati,2021,Post-Federal (2021),0,51979.0,41073.0,77.69,25125.0,3804.0,4493.0,48.26,17.82,2,9.0,82.0,72.0,2702.0,33.0,72.2,78.4,94.3,81.63
Dolakha,Bagmati,2021,Post-Federal (2021),0,99406.0,81865.0,80.14,34501.0,7014.0,3526.0,33.22,10.25,4,85.0,850.0,69.75,24983.0,27.1,72.55,81.55,73.5,75.87
Dolakha,Bagmati,2021,Post-Federal (2021),0,99406.0,81865.0,80.14,34501.0,7014.0,3526.0,33.22,10.25,4,114.0,1333.0,64.0,35446.0,26.6,38.4,50.4,50.9,46.57
Dolakha,Bagmati,2021,Post-Federal (2021),0,99406.0,81865.0,80.14,34501.0,7014.0,3526.0,33.22,10.25,4,42.5,419.0,70.4,9802.0,23.4,65.5,44.2,43.7,51.13
Dolakha,Bagmati,2021,Post-Federal (2021),0,99406.0,81865.0,80.14,34501.0,7014.0,3526.0,33.22,10.25,4,9.0,82.0,72.0,2702.0,33.0,72.2,78.4,94.3,81.63
Dolpa,Karnali,2001,Pre-Federal (2001),1,66511.0,30549.0,42.84,19819.0,12756.0,2579.0,30.94,12.62,8,48.0,258.0,38.1,12271.0,55.8,29.34,46.88,48.21,41.48
Dolpa,Karnali,2011,Transitional (2011),1,79629.0,39677.0,47.9,27998.0,12261.0,3777.0,35.35,13.02,8,59.0,457.0,37.12,14763.0,32.14,27.28,43.58,41.02,37.29
Dolpa,Karnali,2021,Post-Federal (2021),1,22140.0,11615.0,52.06,6449.0,5445.0,593.0,29.96,8.6,4,4.0,24.0,23.6,479.0,20.0,21.9,50.8,35.6,36.1
Dolpa,Karnali,2021,Post-Federal (2021),1,22140.0,11615.0,52.06,6449.0,5445.0,593.0,29.96,8.6,4,73.0,902.0,57.3,21495.0,45.6,21.5,35.43,56.8,37.91
Dolpa,Karnali,2021,Post-Federal (2021),1,22140.0,11615.0,52.06,6449.0,5445.0,593.0,29.96,8.6,4,20.0,184.0,40.6,3289.0,17.9,24.1,57.8,59.9,47.27
Dolpa,Karnali,2021,Post-Federal (2021),0,12565.0,7439.0,61.06,4884.0,798.0,290.0,37.76,6.7,2,4.0,24.0,23.6,479.0,20.0,21.9,50.8,35.6,36.1
Dolpa,Karnali,2021,Post-Federal (2021),0,12565.0,7439.0,61.06,4884.0,798.0,290.0,37.76,6.7,2,73.0,902.0,57.3,21495.0,45.6,21.5,35.43,56.8,37.91
Dolpa,Karnali,2021,Post-Federal (2021),0,12565.0,7439.0,61.06,4884.0,798.0,290.0,37.76,6.7,2,20.0,184.0,40.6,3289.0,17.9,24.1,57.8,59.9,47.27
Dolpa,Karnali,2021,Post-Federal (2021),0,15862.0,5882.0,40.39,4851.0,2444.0,407.0,33.75,7.4,4,4.0,24.0,23.6,479.0,20.0,21.9,50.8,35.6,36.1
Dolpa,Karnali,2021,Post-Federal (2021),0,15862.0,5882.0,40.39,4851.0,2444.0,407.0,33.75,7.4,4,73.0,902.0,57.3,21495.0,45.6,21.5,35.43,56.8,37.91
Dolpa,Karnali,2021,Post-Federal (2021),0,15862.0,5882.0,40.39,4851.0,2444.0,407.0,33.75,7.4,4,20.0,184.0,40.6,3289.0,17.9,24.1,57.8,59.9,47.27
Dolpa,Karnali,2021,Post-Federal (2021),0,10061.0,5491.0,54.44,3193.0,1078.0,303.0,33.28,9.35,2,4.0,24.0,23.6,479.0,20.0,21.9,50.8,35.6,36.1
Dolpa,Karnali,2021,Post-Federal (2021),0,10061.0,5491.0,54.44,3193.0,1078.0,303.0,33.28,9.35,2,73.0,902.0,57.3,21495.0,45.6,21.5,35.43,56.8,37.91
Dolpa,Karnali,2021,Post-Federal (2021),0,10061.0,5491.0,54.44,3193.0,1078.0,303.0,33.28,9.35,2,20.0,184.0,40.6,3289.0,17.9,24.1,57.8,59.9,47.27
Dolpa,Karnali,2021,Post-Federal (2021),0,17201.0,10196.0,61.66,6017.0,3710.0,554.0,36.32,9.18,4,4.0,24.0,23.6,479.0,20.0,21.9,50.8,35.6,36.1
Dolpa,Karnali,2021,Post-Federal (2021),0,17201.0,10196.0,61.66,6017.0,3710.0,554.0,36.32,9.18,4,73.0,902.0,57.3,21495.0,45.6,21.5,35.43,56.8,37.91
Dolpa,Karnali,2021,Post-Federal (2021),0,17201.0,10196.0,61.66,6017.0,3710.0,554.0,36.32,9.18,4,20.0,184.0,40.6,3289.0,17.9,24.1,57.8,59.9,47.27
Doti,Sudur Paschim,2021,Post-Federal (2021),0,13386.0,6266.0,44.55,5132.0,3676.0,635.0,40.47,13.65,3,3.0,30.0,57.8,994.0,33.1,17.4,65.9,59.8,47.7
Doti,Sudur Paschim,2021,Post-Federal (2021),0,13386.0,6266.0,44.55,5132.0,3676.0,635.0,40.47,13.65,3,15.0,210.0,53.8,4631.0,22.1,10.5,50.6,63.2,41.43
Doti,Sudur Paschim,2021,Post-Federal (2021),0,13386.0,6266.0,44.55,5132.0,3676.0,635.0,40.47,13.65,3,62.0,617.0,44.0,7658.0,15.2,25.9,36.5,35.35,32.58
Doti,Sudur Paschim,2021,Post-Federal (2021),0,13386.0,6266.0,44.55,5132.0,3676.0,635.0,40.47,13.65,3,3.0,35.0,69.7,678.0,19.4,38.8,53.8,10.2,34.27
Doti,Sudur Paschim,2021,Post-Federal (2021),0,7833.0,3041.0,38.83,3119.0,2309.0,163.0,39.82,5.23,1,3.0,30.0,57.8,994.0,33.1,17.4,65.9,59.8,47.7
Doti,Sudur Paschim,2021,Post-Federal (2021),0,7833.0,3041.0,38.83,3119.0,2309.0,163.0,39.82,5.23,1,15.0,210.0,53.8,4631.0,22.1,10.5,50.6,63.2,41.43
Doti,Sudur Paschim,2021,Post-Federal (2021),0,7833.0,3041.0,38.83,3119.0,2309.0,163.0,39.82,5.23,1,62.0,617.0,44.0,7658.0,15.2,25.9,36.5,35.35,32.58
Doti,Sudur Paschim,2021,Post-Federal (2021),0,7833.0,3041.0,38.83,3119.0,2309.0,163.0,39.82,5.23,1,3.0,35.0,69.7,678.0,19.4,38.8,53.8,10.2,34.27
Doti,Sudur Paschim,2021,Post-Federal (2021),0,10656.0,4937.0,45.37,3222.0,1899.0,435.0,28.37,11.9,3,3.0,30.0,57.8,994.0,33.1,17.4,65.9,59.8,47.7
Doti,Sudur Paschim,2021,Post-Federal (2021),0,10656.0,4937.0,45.37,3222.0,1899.0,435.0,28.37,11.9,3,15.0,210.0,53.8,4631.0,22.1,10.5,50.6,63.2,41.43
Doti,Sudur Paschim,2021,Post-Federal (2021),0,10656.0,4937.0,45.37,3222.0,1899.0,435.0,28.37,11.9,3,62.0,617.0,44.0,7658.0,15.2,25.9,36.5,35.35,32.58
Doti,Sudur Paschim,2021,Post-Federal (2021),0,10656.0,4937.0,45.37,3222.0,1899.0,435.0,28.37,11.9,3,3.0,35.0,69.7,678.0,19.4,38.8,53.8,10.2,34.27
Doti,Sudur Paschim,2001,Pre-Federal (2001),1,91596.0,34311.0,37.2,31493.0,17973.0,3137.0,34.54,9.77,9,53.0,518.0,57.2,12466.0,30.1,12.15,43.94,59.08,38.39
Doti,Sudur Paschim,2011,Transitional (2011),1,72696.0,37229.0,51.2,23304.0,11756.0,3877.0,33.22,18.05,9,88.0,876.0,36.28,22580.0,29.36,35.82,57.86,46.52,46.73
Doti,Sudur Paschim,2021,Post-Federal (2021),1,25198.0,12853.0,53.71,9051.0,5512.0,970.0,36.43,10.6,3,3.0,30.0,57.8,994.0,33.1,17.4,65.9,59.8,47.7
Doti,Sudur Paschim,2021,Post-Federal (2021),1,25198.0,12853.0,53.71,9051.0,5512.0,970.0,36.43,10.6,3,15.0,210.0,53.8,4631.0,22.1,10.5,50.6,63.2,41.43
Doti,Sudur Paschim,2021,Post-Federal (2021),1,25198.0,12853.0,53.71,9051.0,5512.0,970.0,36.43,10.6,3,62.0,617.0,44.0,7658.0,15.2,25.9,36.5,35.35,32.58
Doti,Sudur Paschim,2021,Post-Federal (2021),1,25198.0,12853.0,53.71,9051.0,5512.0,970.0,36.43,10.6,3,3.0,35.0,69.7,678.0,19.4,38.8,53.8,10.2,34.27
Doti,Sudur Paschim,2021,Post-Federal (2021),0,34705.0,19911.0,56.62,11798.0,5682.0,945.0,33.78,9.12,5,3.0,30.0,57.8,994.0,33.1,17.4,65.9,59.8,47.7
Doti,Sudur Paschim,2021,Post-Federal (2021),0,34705.0,19911.0,56.62,11798.0,5682.0,945.0,33.78,9.12,5,15.0,210.0,53.8,4631.0,22.1,10.5,50.6,63.2,41.43
Doti,Sudur Paschim,2021,Post-Federal (2021),0,34705.0,19911.0,56.62,11798.0,5682.0,945.0,33.78,9.12,5,62.0,617.0,44.0,7658.0,15.2,25.9,36.5,35.35,32.58
Doti,Sudur Paschim,2021,Post-Federal (2021),0,34705.0,19911.0,56.62,11798.0,5682.0,945.0,33.78,9.12,5,3.0,35.0,69.7,678.0,19.4,38.8,53.8,10.2,34.27
Gorkha,Gandaki,2001,Pre-Federal (2001),0,291159.0,194006.0,66.51,111138.0,14460.0,11472.0,38.27,11.15,13,150.0,1540.0,64.54,31156.0,32.0,62.16,61.0,67.27,63.48
Gorkha,Gandaki,2011,Transitional (2011),0,423923.0,329632.0,75.89,163778.0,25098.0,18480.0,37.12,11.66,13,138.0,1000.0,73.16,27394.0,32.28,60.96,65.17,70.64,65.59
Gorkha,Gandaki,2021,Post-Federal (2021),0,129821.0,105690.0,79.59,42477.0,4646.0,4907.0,31.67,13.02,8,98.0,573.0,69.15,32095.0,43.65,56.9,65.15,93.95,72.0
Gorkha,Gandaki,2021,Post-Federal (2021),0,129821.0,105690.0,79.59,42477.0,4646.0,4907.0,31.67,13.02,8,66.0,963.0,69.7,10208.0,10.6,39.4,57.2,42.1,46.23
Gorkha,Gandaki,2021,Post-Federal (2021),0,129821.0,105690.0,79.59,42477.0,4646.0,4907.0,31.67,13.02,8,4.0,26.0,76.6,563.0,21.7,49.1,65.0,84.4,66.17
Gorkha,Gandaki,2021,Post-Federal (2021),0,129821.0,105690.0,79.59,42477.0,4646.0,4907.0,31.67,13.02,8,27.0,379.0,78.5,6410.0,16.9,79.7,59.6,49.3,62.87
Gorkha,Gandaki,2021,Post-Federal (2021),0,28923.0,27248.0,78.44,15204.0,2511.0,895.0,50.38,8.34,3,98.0,573.0,69.15,32095.0,43.65,56.9,65.15,93.95,72.0
Gorkha,Gandaki,2021,Post-Federal (2021),0,28923.0,27248.0,78.44,15204.0,2511.0,895.0,50.38,8.34,3,66.0,963.0,69.7,10208.0,10.6,39.4,57.2,42.1,46.23
Gorkha,Gandaki,2021,Post-Federal (2021),0,28923.0,27248.0,78.44,15204.0,2511.0,895.0,50.38,8.34,3,4.0,26.0,76.6,563.0,21.7,49.1,65.0,84.4,66.17
Gorkha,Gandaki,2021,Post-Federal (2021),0,28923.0,27248.0,78.44,15204.0,2511.0,895.0,50.38,8.34,3,27.0,379.0,78.5,6410.0,16.9,79.7,59.6,49.3,62.87
Gorkha,Gandaki,2021,Post-Federal (2021),0,109865.0,91469.0,83.63,40869.0,5922.0,5514.0,35.26,14.04,5,98.0,573.0,69.15,32095.0,43.65,56.9,65.15,93.95,72.0
Gorkha,Gandaki,2021,Post-Federal (2021),0,109865.0,91469.0,83.63,40869.0,5922.0,5514.0,35.26,14.04,5,66.0,963.0,69.7,10208.0,10.6,39.4,57.2,42.1,46.23
Gorkha,Gandaki,2021,Post-Federal (2021),0,109865.0,91469.0,83.63,40869.0,5922.0,5514.0,35.26,14.04,5,4.0,26.0,76.6,563.0,21.7,49.1,65.0,84.4,66.17
Gorkha,Gandaki,2021,Post-Federal (2021),0,109865.0,91469.0,83.63,40869.0,5922.0,5514.0,35.26,14.04,5,27.0,379.0,78.5,6410.0,16.9,79.7,59.6,49.3,62.87
Gorkha,Gandaki,2021,Post-Federal (2021),0,72034.0,58528.0,83.27,28977.0,4480.0,3590.0,39.51,13.2,4,98.0,573.0,69.15,32095.0,43.65,56.9,65.15,93.95,72.0
Gorkha,Gandaki,2021,Post-Federal (2021),0,72034.0,58528.0,83.27,28977.0,4480.0,3590.0,39.51,13.2,4,66.0,963.0,69.7,10208.0,10.6,39.4,57.2,42.1,46.23
Gorkha,Gandaki,2021,Post-Federal (2021),0,72034.0,58528.0,83.27,28977.0,4480.0,3590.0,39.51,13.2,4,4.0,26.0,76.6,563.0,21.7,49.1,65.0,84.4,66.17
Gorkha,Gandaki,2021,Post-Federal (2021),0,72034.0,58528.0,83.27,28977.0,4480.0,3590.0,39.51,13.2,4,27.0,379.0,78.5,6410.0,16.9,79.7,59.6,49.3,62.87
Gorkha,Gandaki,2021,Post-Federal (2021),0,78244.0,63354.0,82.22,30787.0,5771.0,1744.0,40.28,5.78,4,98.0,573.0,69.15,32095.0,43.65,56.9,65.15,93.95,72.0
Gorkha,Gandaki,2021,Post-Federal (2021),0,78244.0,63354.0,82.22,30787.0,5771.0,1744.0,40.28,5.78,4,66.0,963.0,69.7,10208.0,10.6,39.4,57.2,42.1,46.23
Gorkha,Gandaki,2021,Post-Federal (2021),0,78244.0,63354.0,82.22,30787.0,5771.0,1744.0,40.28,5.78,4,4.0,26.0,76.6,563.0,21.7,49.1,65.0,84.4,66.17
Gorkha,Gandaki,2021,Post-Federal (2021),0,78244.0,63354.0,82.22,30787.0,5771.0,1744.0,40.28,5.78,4,27.0,379.0,78.5,6410.0,16.9,79.7,59.6,49.3,62.87
Gulmi,Lumbini,2021,Post-Federal (2021),0,18125.0,9759.0,52.5,7617.0,3645.0,546.5,50.63,7.67,3,86.0,547.0,60.1,20618.0,44.35,55.45,29.25,41.1,41.93
Gulmi,Lumbini,2021,Post-Federal (2021),0,18125.0,9759.0,52.5,7617.0,3645.0,546.5,50.63,7.67,3,100.0,621.0,68.3,26957.0,42.45,47.15,58.15,23.9,43.06
Gulmi,Lumbini,2021,Post-Federal (2021),0,18125.0,9759.0,52.5,7617.0,3645.0,546.5,50.63,7.67,3,4.0,37.0,67.0,1505.0,40.7,68.6,71.6,41.3,60.5
Gulmi,Lumbini,2001,Pre-Federal (2001),0,110005.0,47995.0,45.1,38389.0,20873.0,4248.0,35.0,11.45,12,152.0,1229.0,59.68,42557.0,33.82,63.12,40.14,37.58,46.95
Gulmi,Lumbini,2011,Transitional (2011),0,128740.0,61320.0,46.31,45639.0,23519.0,5440.0,35.37,12.5,12,222.0,1547.0,67.96,51737.0,37.1,60.48,40.84,61.46,54.26
Gulmi,Lumbini,2021,Post-Federal (2021),0,27442.0,12582.0,52.62,9919.0,3541.0,1309.0,37.98,13.22,6,86.0,547.0,60.1,20618.0,44.35,55.45,29.25,41.1,41.93
Gulmi,Lumbini,2021,Post-Federal (2021),0,27442.0,12582.0,52.62,9919.0,3541.0,1309.0,37.98,13.22,6,100.0,621.0,68.3,26957.0,42.45,47.15,58.15,23.9,43.06
Gulmi,Lumbini,2021,Post-Federal (2021),0,27442.0,12582.0,52.62,9919.0,3541.0,1309.0,37.98,13.22,6,4.0,37.0,67.0,1505.0,40.7,68.6,71.6,41.3,60.5
Gulmi,Lumbini,2021,Post-Federal (2021),0,29532.0,16910.0,58.75,10715.0,6786.0,1063.5,38.06,9.95,4,86.0,547.0,60.1,20618.0,44.35,55.45,29.25,41.1,41.93
Gulmi,Lumbini,2021,Post-Federal (2021),0,29532.0,16910.0,58.75,10715.0,6786.0,1063.5,38.06,9.95,4,100.0,621.0,68.3,26957.0,42.45,47.15,58.15,23.9,43.06
Gulmi,Lumbini,2021,Post-Federal (2021),0,29532.0,16910.0,58.75,10715.0,6786.0,1063.5,38.06,9.95,4,4.0,37.0,67.0,1505.0,40.7,68.6,71.6,41.3,60.5
Gulmi,Lumbini,2021,Post-Federal (2021),0,22180.0,12436.0,53.83,7753.0,4934.0,599.0,35.48,10.05,4,86.0,547.0,60.1,20618.0,44.35,55.45,29.25,41.1,41.93
Gulmi,Lumbini,2021,Post-Federal (2021),0,22180.0,12436.0,53.83,7753.0,4934.0,599.0,35.48,10.05,4,100.0,621.0,68.3,26957.0,42.45,47.15,58.15,23.9,43.06
Gulmi,Lumbini,2021,Post-Federal (2021),0,22180.0,12436.0,53.83,7753.0,4934.0,599.0,35.48,10.05,4,4.0,37.0,67.0,1505.0,40.7,68.6,71.6,41.3,60.5
Gulmi,Lumbini,2021,Post-Federal (2021),0,18510.0,9016.0,45.55,7198.0,4708.0,1041.0,38.63,14.01,3,86.0,547.0,60.1,20618.0,44.35,55.45,29.25,41.1,41.93
Gulmi,Lumbini,2021,Post-Federal (2021),0,18510.0,9016.0,45.55,7198.0,4708.0,1041.0,38.63,14.01,3,100.0,621.0,68.3,26957.0,42.45,47.15,58.15,23.9,43.06
Gulmi,Lumbini,2021,Post-Federal (2021),0,18510.0,9016.0,45.55,7198.0,4708.0,1041.0,38.63,14.01,3,4.0,37.0,67.0,1505.0,40.7,68.6,71.6,41.3,60.5
Humla,Karnali,2001,Pre-Federal (2001),1,45317.0,15869.0,36.45,14700.0,8971.0,1771.0,35.01,13.81,7,51.0,690.0,38.7,15243.0,29.95,27.54,43.12,45.14,38.6
Humla,Karnali,2011,Transitional (2011),1,58404.0,29878.0,51.28,19616.0,9823.0,1786.0,34.45,14.43,7,70.0,617.0,40.52,17041.0,48.18,26.72,38.86,54.48,40.02
Humla,Karnali,2021,Post-Federal (2021),1,21818.0,13114.0,57.18,6546.0,2415.0,862.0,28.59,11.6,4,33.0,150.0,55.45,9627.0,51.5,27.45,68.15,59.65,51.75
Humla,Karnali,2021,Post-Federal (2021),1,21818.0,13114.0,57.18,6546.0,2415.0,862.0,28.59,11.6,4,36.0,313.0,35.9,5266.0,14.73,22.77,60.33,26.03,36.38
Humla,Karnali,2021,Post-Federal (2021),0,16752.0,7342.0,43.02,5172.0,3750.0,777.0,31.05,14.77,2,33.0,150.0,55.45,9627.0,51.5,27.45,68.15,59.65,51.75
Humla,Karnali,2021,Post-Federal (2021),0,16752.0,7342.0,43.02,5172.0,3750.0,777.0,31.05,14.77,2,36.0,313.0,35.9,5266.0,14.73,22.77,60.33,26.03,36.38
Humla,Karnali,2021,Post-Federal (2021),0,3005.0,1300.0,43.28,913.0,407.0,181.0,30.38,19.82,1,33.0,150.0,55.45,9627.0,51.5,27.45,68.15,59.65,51.75
Humla,Karnali,2021,Post-Federal (2021),0,3005.0,1300.0,43.28,913.0,407.0,181.0,30.38,19.82,1,36.0,313.0,35.9,5266.0,14.73,22.77,60.33,26.03,36.38
Humla,Karnali,2021,Post-Federal (2021),0,6740.0,4065.0,60.32,1498.0,1341.0,87.0,22.23,5.81,1,33.0,150.0,55.45,9627.0,51.5,27.45,68.15,59.65,51.75
Humla,Karnali,2021,Post-Federal (2021),0,6740.0,4065.0,60.32,1498.0,1341.0,87.0,22.23,5.81,1,36.0,313.0,35.9,5266.0,14.73,22.77,60.33,26.03,36.38
Humla,Karnali,2021,Post-Federal (2021),0,30321.0,16792.0,57.65,9223.0,6108.0,1419.0,34.07,15.65,5,33.0,150.0,55.45,9627.0,51.5,27.45,68.15,59.65,51.75
Humla,Karnali,2021,Post-Federal (2021),0,30321.0,16792.0,57.65,9223.0,6108.0,1419.0,34.07,15.65,5,36.0,313.0,35.9,5266.0,14.73,22.77,60.33,26.03,36.38
Ilam,Koshi,2021,Post-Federal (2021),0,20372.0,11010.0,50.39,7698.0,4440.0,697.0,41.86,10.25,4,146.0,1769.0,82.95,40215.0,20.55,81.1,51.45,40.95,57.84
Ilam,Koshi,2021,Post-Federal (2021),0,20372.0,11010.0,50.39,7698.0,4440.0,697.0,41.86,10.25,4,3.0,21.0,51.1,340.0,16.2,51.2,77.5,17.5,48.73
Ilam,Koshi,2021,Post-Federal (2021),0,20372.0,11010.0,50.39,7698.0,4440.0,697.0,41.86,10.25,4,99.0,1271.0,91.3,20145.0,16.25,51.25,49.9,19.62,40.25
Ilam,Koshi,2001,Pre-Federal (2001),0,56215.0,21765.0,39.23,20233.0,10830.0,2026.0,35.85,9.89,8,118.0,887.0,72.79,27937.0,29.12,64.54,60.47,47.6,57.54
Ilam,Koshi,2011,Transitional (2011),0,57234.0,26428.0,47.52,19240.0,6937.0,2059.0,34.69,9.92,8,165.0,1114.0,67.22,20489.0,38.9,55.58,51.68,35.34,47.53
Ilam,Koshi,2021,Post-Federal (2021),0,16939.0,9713.0,58.88,7263.0,2763.0,858.0,43.49,11.31,3,146.0,1769.0,82.95,40215.0,20.55,81.1,51.45,40.95,57.84
Ilam,Koshi,2021,Post-Federal (2021),0,16939.0,9713.0,58.88,7263.0,2763.0,858.0,43.49,11.31,3,3.0,21.0,51.1,340.0,16.2,51.2,77.5,17.5,48.73
Ilam,Koshi,2021,Post-Federal (2021),0,16939.0,9713.0,58.88,7263.0,2763.0,858.0,43.49,11.31,3,99.0,1271.0,91.3,20145.0,16.25,51.25,49.9,19.62,40.25
Ilam,Koshi,2021,Post-Federal (2021),0,14878.0,10458.0,57.91,7803.0,4251.0,968.0,47.39,8.18,4,146.0,1769.0,82.95,40215.0,20.55,81.1,51.45,40.95,57.84
Ilam,Koshi,2021,Post-Federal (2021),0,14878.0,10458.0,57.91,7803.0,4251.0,968.0,47.39,8.18,4,3.0,21.0,51.1,340.0,16.2,51.2,77.5,17.5,48.73
Ilam,Koshi,2021,Post-Federal (2021),0,14878.0,10458.0,57.91,7803.0,4251.0,968.0,47.39,8.18,4,99.0,1271.0,91.3,20145.0,16.25,51.25,49.9,19.62,40.25
Ilam,Koshi,2021,Post-Federal (2021),0,7113.0,3077.0,40.89,3241.0,913.0,343.0,42.92,12.59,2,146.0,1769.0,82.95,40215.0,20.55,81.1,51.45,40.95,57.84
Ilam,Koshi,2021,Post-Federal (2021),0,7113.0,3077.0,40.89,3241.0,913.0,343.0,42.92,12.59,2,3.0,21.0,51.1,340.0,16.2,51.2,77.5,17.5,48.73
Ilam,Koshi,2021,Post-Federal (2021),0,7113.0,3077.0,40.89,3241.0,913.0,343.0,42.92,12.59,2,99.0,1271.0,91.3,20145.0,16.25,51.25,49.9,19.62,40.25
Ilam,Koshi,2021,Post-Federal (2021),0,14186.0,7306.0,58.17,3349.0,1943.0,827.0,24.32,19.26,3,146.0,1769.0,82.95,40215.0,20.55,81.1,51.45,40.95,57.84
Ilam,Koshi,2021,Post-Federal (2021),0,14186.0,7306.0,58.17,3349.0,1943.0,827.0,24.32,19.26,3,3.0,21.0,51.1,340.0,16.2,51.2,77.5,17.5,48.73
Ilam,Koshi,2021,Post-Federal (2021),0,14186.0,7306.0,58.17,3349.0,1943.0,827.0,24.32,19.26,3,99.0,1271.0,91.3,20145.0,16.25,51.25,49.9,19.62,40.25
Jajarkot,Karnali,2001,Pre-Federal (2001),1,76377.0,25221.0,36.62,25828.0,12508.0,3069.0,36.58,11.54,8,56.0,385.0,51.46,11142.0,23.44,20.44,42.4,36.08,32.97
Jajarkot,Karnali,2011,Transitional (2011),1,56110.0,27269.0,49.33,18593.0,11835.0,2241.0,34.14,11.28,8,52.0,348.0,46.28,15011.0,57.22,32.38,38.6,40.84,37.27
Jajarkot,Karnali,2021,Post-Federal (2021),1,16834.0,11283.0,66.04,5638.0,3188.0,526.0,31.79,11.4,3,9.0,147.0,54.7,2464.0,32.9,7.1,38.9,46.7,30.9
Jajarkot,Karnali,2021,Post-Federal (2021),1,16834.0,11283.0,66.04,5638.0,3188.0,526.0,31.79,11.4,3,7.0,80.0,51.2,1962.0,24.5,39.5,52.2,34.4,42.03
